DATE,BRKA
1990-01,-0.14063400576368862
1990-02,-0.030851777330651003
1990-03,-0.06920415224913487
1990-04,-0.003717472118959304
1990-05,0.06716417910447753
1990-06,0.0069930069930071595
1990-07,-0.02777777777777771
1990-08,-0.0857142857142852
1990-09,-0.08203124999999943
1990-10,0.012765957446808699
1990-11,0.06638655462184848
1990-12,0.05200945626477534
1991-01,0.10861423220973793
1991-02,0.09121621621621633
1991-03,-0.006191950464396385
1991-04,0.012461059190030783
1991-05,0.07692307692307646
1991-06,-0.03999999999999964
1991-07,0.014880952380952307
1991-08,0.0293255131964811
1991-09,0.011396011396011204
1991-10,-0.03436619718309836
1991-11,-0.025670945157526305
1991-12,0.0838323353293408
1992-01,-0.02209944751381169
1992-02,-0.014124293785310648
1992-03,0.025787965616045794
1992-04,0.019553072625698355
1992-05,-0.002739726027397109
1992-06,0.013736263736263746
1992-07,0.03252032520325203
1992-08,-0.041994750656167625
1992-09,0.030136986301369684
1992-10,0.007978723404255116
1992-11,0.13192612137203125
1992-12,0.09557109557109579
1993-01,0.029787234042552794
1993-02,0.030991735537189827
1993-03,0.02204408817635281
1993-04,-0.007843137254902224
1993-05,0.18577075098814158
1993-06,0.0266666666666667
1993-07,0.03896103896103893
1993-08,0.09531249999999952
1993-09,-0.048502139800285074
1993-10,0.03448275862068936
1993-11,-2.7495367094232388e-16
1993-12,-0.053623188405796746
1994-01,-0.00765696784073562
1994-02,-0.046296296296296405
1994-03,0.03074433656957915
1994-04,0.010989010989010783
1994-05,-7.112366251504909e-17
1994-06,5.646524914304509e-16
1994-07,0.21739130434782514
1994-08,-0.02551020408163227
1994-09,-0.00785340314136098
1994-10,0.0686015831134555
1994-11,0.013580246913580297
1994-12,-0.0060901339829474025
1995-01,0.20588235294117604
1995-02,-0.09451219512195118
1995-03,0.016835016835016713
1995-04,-0.04635761589403928
1995-05,0.050925925925926104
1995-06,0.03303964757709218
1995-07,0.05543710021321979
1995-08,0.03030303030303003
1995-09,0.15294117647058705
1995-10,0.0034013605442174155
1995-11,0.06101694915254258
1995-12,0.025559105431309802
1996-01,-0.006230529595015519
1996-02,0.11285266457680247
1996-03,-0.046478873239436475
1996-04,-0.010339734121122466
1996-05,-0.08955223880596978
1996-06,0.006557377049180872
1996-07,0.006514657980456061
1996-08,0.012944983818770768
1996-09,0.027156549520766737
1996-10,0.007776049766718662
1996-11,0.024691358024691235
1996-12,0.027108433734939902
1997-01,0.020527859237536958
1997-02,0.020114942528735174
1997-03,0.01971830985915462
1997-04,0.049723756906076645
1997-05,0.13157894736842066
1997-06,0.09767441860465118
1997-07,9.367506770274758e-17
1997-08,-0.1207627118644064
1997-09,0.07951807228915668
1997-10,-0.024553571428571227
1997-11,0.03661327231121312
1997-12,0.015452538631346498
1998-01,0.09347826086956523
1998-02,0.10934393638170883
1998-03,0.2043010752688168
1998-04,0.020833333333332746
1998-05,0.03061224489795883
1998-06,0.10756718528995751
1998-07,-0.10471872805057092
1998-08,-0.1370087725554526
1998-09,-0.014876033057850974
1998-10,0.08221476510067094
1998-11,0.05271317829457368
1998-12,0.030927835051546716
1999-01,-0.07142857142857093
1999-02,0.09384615384615388
1999-03,0.004219409282700807
1999-04,0.07002801120448199
1999-05,-0.057591623036648866
1999-06,-0.04305555555555509
1999-07,-0.015892597968068994
1999-08,-0.053167170562642155
1999-09,-0.14330218068535766
1999-10,0.16181818181818133
1999-11,-0.10328638497652541
1999-12,-0.020942408376962873
2000-01,-0.08734402852049925
2000-02,-0.14062499999999992
2000-03,0.30000000000000016
2000-04,0.03671328671328705
2000-05,-0.011804384485665804
2000-06,-0.08191126279863443
2000-07,0.024163568773234348
2000-08,0.04718693284936462
2000-09,0.11611785095320644
2000-10,-0.010869565217391828
2000-11,0.03453689167974926
2000-12,0.07738998482549322
2001-01,-0.03661971830985929
2001-02,0.02777777777777825
2001-03,-0.06899004267425284
2001-04,0.038961038961038745
2001-05,0.010294117647058872
2001-06,0.01018922852983975
2001-07,-0.002881844380403096
2001-08,0.0028901734104053263
2001-09,0.008645533141210323
2001-10,0.01714285714285709
2001-11,-0.016853932584269326
2001-12,0.0799999999999996
2002-01,-0.022486772486772617
2002-02,-0.012178619756427622
2002-03,-0.026027397260273956
2002-04,0.03305203938115364
2002-05,0.015656909462218656
2002-06,-0.10455764075066984
2002-07,0.022455089820359143
2002-08,0.06881405563689622
2002-09,0.012328767123288049
2002-10,0.003924221921515881
2002-11,-0.025475131419328518
2002-12,0.006224066390041603
2003-01,-0.07079037800687277
2003-02,-0.08727810650887581
2003-03,0.03403565640194513
2003-04,0.09427899686520377
2003-05,0.01697342977870118
2003-06,0.021126760563379997
2003-07,-0.006758620689655248
2003-08,0.05228440494375729
2003-09,-0.010227647641042469
2003-10,0.03746666666666614
2003-11,0.07633980208199406
2003-12,0.005970149253731535
2004-01,0.06219584569732903
2004-02,0.05598390881662695
2004-03,-0.012698412698413049
2004-04,0.0009646302250804456
2004-05,-0.047007174215654486
2004-06,-0.0005617977528089538
2004-07,-0.019111860595840593
2004-08,-0.0028653295128938426
2004-09,-0.004022988505747001
2004-10,-0.027697634160414885
2004-11,-0.006528189910978699
2004-12,0.050179211469533774
2005-01,0.022753128555176572
2005-02,0.003337041156841081
2005-03,-0.03547671840354764
2005-04,-0.030459770114942625
2005-05,-0.0029638411381147753
2005-06,-0.0071343638525560886
2005-07,3.7166450472803097e-16
2005-08,-0.0041916167664666805
2005-09,-0.013830426939266297
2005-10,0.04756097560975603
2005-11,0.04062863795110582
2005-12,-0.008613938919341564
